"ART_CODIGO";"ART_PROV";"ART_SUSTITUTO";"ART_LINEA";"ART_MARCA";"ART_GRUPO";"ART_IMPU";"ART_CODIGO_FABRICA";"ART_DESC";"ART_DESC_ABREV";"ART_UNID_MED";"ART_TIPO";"ART_EMPAQUE";"ART_CONTENIDO";"ART_DATOS_TEC";"ART_FACTOR_CONVERSION";"ART_EST";"ART_COD_ESTADISTICA";"ART_TIPO_COMISION";"ART_IND_IMP";"ART_CUAD_DEMO";"ART_RUBRO";"ART_IND_EN_LINEA";"ART_IND_CON_ROTACION";"ART_COD_ALFANUMERICO";"ART_PAIS";"ART_MINIMO_EXIGIDO_PROV";"ART_SECUENCIA";"ART_KG_UNID";"ART_KG_CONTENIDO";"ART_COLOR";"ART_NRO_MOTOR";"ART_NRO_CHASSIS";"ART_MODELO";"ART_CLAS_SUBGRUPO";"ART_CLASIFICACION";"ART_DPTO";"ART_SECCION";"ART_SECTOR";"ART_MAX_PORC_DCTO_VTA";"ART_M3_CAJA";"ART_CATEG_INDICES";"ART_MAX_PORC_DCTO";"ART_IND_MAX_POR_GRART";"ART_PRECIO_METRO_LINEAL";"ART_IND_COSTO";"ART_IND_M";"ART_IND_P";"ART_IND_V";"ART_IND_E";"ART_PORC_FIJO"
"11502";"1595";"";"1";"1";"161";"2";"";"MT ZOCALO BARNIZADO SEMIBRILLO";"MT ZOCALO BARNIZADO SEMIBRILLO";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"MZBSM";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11503";"332";"";"11";"1";"2";"2";"";"COCINA CONTIN. CAPRI GRILL 4HORN.";"COCINA CONTIN. CAPRI GRILL 4HO";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"CCC4H";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"S";"S";"S";""
"11504";"178";"";"11";"1";"46";"2";"";"COLCHON ULTRA SOFF 180X2";"COLCHON ULTRA SOFF 1";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"CUS180X2";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11505";"1595";"";"1";"1";"161";"2";"";"MT CONTRAMANOS SEMIBRILLO";"MT CONTRAMANOS SEMIBRILLO";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"MCSB";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11506";"1595";"";"1";"1";"161";"2";"";"PTA. PLACA EUC. 0.80X2.10 BLANCO";"PTA. PLACA EUC. 0.80X2.10 BLAN";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"PPEB080X2.10";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11507";"710";"";"4";"1";"64";"2";"";"VENTILADOR WESTINGHOUSE INOX.";"VENTILADOR WESTINGHOUSE INOX.";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"VWI";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11508";"1595";"";"1";"1";"161";"2";"";"PTA. PLACA EUC. 0.70X2.10 BLANCO";"PTA. PLACA EUC. 0.70X2.10 BLAN";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"PPEB070X2.10";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11509";"1595";"";"1";"1";"161";"2";"";"PTA. PLACA EUC.080X2.10 VERD OLIV BZ BRI";"PTA. PLACA EUC.080X2.10 VERD O";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"PPEVOBB080X2.10";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11510";"1595";"";"1";"1";"161";"2";"";"PTA. PLACA EUC.080X2.10 VER OLIV SEMIBRI";"PTA. PLACA EUC.080X2.10 VER OL";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"PPEVOSB080X2.10";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11511";"1595";"";"1";"1";"161";"2";"";"PTA. PLACA EUC.070X2.10 VER OLIV SEMIBRI";"PTA. PLACA EUC.070X2.10 VER OL";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"PPEVOSB070X2.10";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11512";"1595";"";"1";"1";"161";"2";"";"PTA. PLACA EUC.080X2.10 CRUDO";"PTA. PLACA EUC.080X2.10 CRUDO";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"PPEC080X2.10";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
